isin,name,asset_class,ticker_yahoo,ticker_stooq,currency,exchange,tr_status,tr_checked_at,source,notes
DE000A0D9PT0,MTU Aero Engines,stock,MTX.DE,mtx.de,EUR,XETRA,assumed,,de_largecap,
US5719032022,Marriott International,stock,MAR,mar.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US57636Q1040,Mastercard,stock,MA,ma.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US5801351017,McDonald's,stock,MCD,mcd.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0007100000,Mercedes-Benz Group,stock,MBG.DE,mbg.de,EUR,XETRA,assumed,,de_largecap,
US58933Y1055,Merck & Co,stock,MRK,mrk.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0006599905,Merck KGaA,stock,MRK.DE,mrk.de,EUR,XETRA,assumed,,de_largecap,
US30303M1027,Meta Platforms,stock,META,meta.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US5951121038,Micron Technology,stock,MU,mu.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US5949181045,Microsoft,stock,MSFT,msft.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US60770K1079,Moderna,stock,MRNA,mrna.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US6092071058,Mondelez,stock,MDLZ,mdlz.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US6174464486,Morgan Stanley,stock,MS,ms.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0008430026,Muenchener Rueck,stock,MUV2.DE,muv2.de,EUR,XETRA,assumed,,de_largecap,
US67066G1040,NVIDIA,stock,NVDA,nvda.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0006452907,Nemetschek,stock,NEM.DE,nem.de,EUR,XETRA,assumed,,de_largecap,
CH0038863350,Nestle,stock,NESN.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
US64110L1061,Netflix,stock,NFLX,nflx.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US6541061031,Nike B,stock,NKE,nke.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000A0D6554,Nordex,stock,NDX1.DE,ndx1.de,EUR,XETRA,assumed,,de_largecap,
CH0012005267,Novartis,stock,NOVN.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
DK0062498333,Novo Nordisk B,stock,NOVO-B.CO,,DKK,CPH,assumed,,eu_largecap,Abrechnung bei TR in EUR
US68389X1054,Oracle,stock,ORCL,orcl.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US69608A1088,Palantir,stock,PLTR,pltr.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US70450Y1038,PayPal,stock,PYPL,pypl.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US7134481081,PepsiCo,stock,PEP,pep.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US7170811035,Pfizer,stock,PFE,pfe.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0000009538,Philips,stock,PHIA.AS,,EUR,AMS,assumed,,eu_largecap,
DE000PAG9113,Porsche AG,stock,P911.DE,p911.de,EUR,XETRA,assumed,,de_largecap,
DE000PAH0038,Porsche Automobil Holding,stock,PAH3.DE,pah3.de,EUR,XETRA,assumed,,de_largecap,
DE000PSM7770,ProSiebenSat.1,stock,PSM.DE,psm.de,EUR,XETRA,assumed,,de_largecap,
US7427181091,Procter & Gamble,stock,PG,pg.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
NL0013654783,Prosus,stock,PRX.AS,,EUR,AMS,assumed,,eu_largecap,
DE0006969603,Puma,stock,PUM.DE,pum.de,EUR,XETRA,assumed,,de_largecap,
NL0012169213,Qiagen,stock,QIA.DE,qia.de,EUR,XETRA,assumed,,de_largecap,
US7475251036,Qualcomm,stock,QCOM,qcom.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US75513E1010,RTX,stock,RTX,rtx.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0007037129,RWE,stock,RWE.DE,rwe.de,EUR,XETRA,assumed,,de_largecap,
DE0007010803,Rational,stock,RAA.DE,raa.de,EUR,XETRA,assumed,,de_largecap,
DE0007030009,Rheinmetall,stock,RHM.DE,rhm.de,EUR,XETRA,assumed,,de_largecap,
CH0210483332,Richemont,stock,CFR.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
GB0007188757,Rio Tinto,stock,RIO.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
CH0012032048,Roche Genussschein,stock,ROG.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE0007164600,SAP,stock,SAP.DE,sap.de,EUR,XETRA,assumed,,de_largecap,
DE000A0DJ6J9,SMA Solar,stock,S92.DE,s92.de,EUR,XETRA,assumed,,de_largecap,
FR0000073272,Safran,stock,SAF.PA,,EUR,PAR,assumed,,eu_largecap,
US79466L3024,Salesforce,stock,CRM,crm.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0006202005,Salzgitter,stock,SZG.DE,szg.de,EUR,XETRA,assumed,,de_largecap,
FR0000120578,Sanofi,stock,SAN.PA,,EUR,PAR,assumed,,eu_largecap,
DE0007165631,Sartorius Vz,stock,SRT3.DE,srt3.de,EUR,XETRA,assumed,,de_largecap,
FR0000121972,Schneider Electric,stock,SU.PA,,EUR,PAR,assumed,,eu_largecap,
DE000A12DM80,Scout24,stock,G24.DE,g24.de,EUR,XETRA,assumed,,de_largecap,
US81762P1021,ServiceNow,stock,NOW,now.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
GB00BP6MXD84,Shell,stock,SHEL.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
CA82509L1076,Shopify,stock,SHOP,shop.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0007236101,Siemens,stock,SIE.DE,sie.de,EUR,XETRA,assumed,,de_largecap,
DE000ENER6Y0,Siemens Energy,stock,ENR.DE,enr.de,EUR,XETRA,assumed,,de_largecap,
DE000SHL1006,Siemens Healthineers,stock,SHL.DE,shl.de,EUR,XETRA,assumed,,de_largecap,
DE000WAF3001,Siltronic,stock,WAF.DE,waf.de,EUR,XETRA,assumed,,de_largecap,
US8334451098,Snowflake,stock,SNOW,snow.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
LU1778762911,Spotify,stock,SPOT,spot.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US8552441094,Starbucks,stock,SBUX,sbux.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
NL00150001Q9,Stellantis,stock,STLAM.MI,,EUR,MIL,assumed,,eu_largecap,
DE0007493991,Stroeer,stock,SAX.DE,sax.de,EUR,XETRA,assumed,,de_largecap,
DE000SYM9999,Symrise,stock,SY1.DE,sy1.de,EUR,XETRA,assumed,,de_largecap,
DE000TLX1005,Talanx,stock,TLX.DE,tlx.de,EUR,XETRA,assumed,,de_largecap,
US87612E1064,Target,stock,TGT,tgt.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US88160R1014,Tesla,stock,TSLA,tsla.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US8825081040,Texas Instruments,stock,TXN,txn.us,USD,NASDAQ,assumed,,us_largecap,Abrechnung bei TR in EUR
US8835561023,Thermo Fisher,stock,TMO,tmo.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
FR0000120271,TotalEnergies,stock,TTE.PA,,EUR,PAR,assumed,,eu_largecap,
CH0244767585,UBS Group,stock,UBSG.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
US90353T1007,Uber Technologies,stock,UBER,uber.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
GB00B10RZP78,Unilever,stock,ULVR.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
US9078181081,Union Pacific,stock,UNP,unp.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE0005089031,United Internet,stock,UTDI.DE,utdi.de,EUR,XETRA,assumed,,de_largecap,
US91324P1021,UnitedHealth,stock,UNH,unh.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US92343V1044,Verizon,stock,VZ,vz.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
FR0000125486,Vinci,stock,DG.PA,,EUR,PAR,assumed,,eu_largecap,
US92826C8394,Visa,stock,V,v.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
GB00BH4HKS39,Vodafone Group,stock,VOD.L,,GBp,LSE,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE0007664039,Volkswagen Vz,stock,VOW3.DE,vow3.de,EUR,XETRA,assumed,,de_largecap,
DE000A1ML7J1,Vonovia,stock,VNA.DE,vna.de,EUR,XETRA,assumed,,de_largecap,
DE000WCH8881,Wacker Chemie,stock,WCH.DE,wch.de,EUR,XETRA,assumed,,de_largecap,
US9311421039,Walmart,stock,WMT,wmt.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US2546871060,Walt Disney,stock,DIS,dis.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
US9497461015,Wells Fargo,stock,WFC,wfc.us,USD,NYSE,assumed,,us_largecap,Abrechnung bei TR in EUR
DE000ZAL1111,Zalando,stock,ZAL.DE,zal.de,EUR,XETRA,assumed,,de_largecap,
CH0011075394,Zurich Insurance,stock,ZURN.SW,,CHF,SWX,assumed,,eu_largecap,Abrechnung bei TR in EUR
DE000A1EWWW0,adidas,stock,ADS.DE,ads.de,EUR,XETRA,assumed,,de_largecap,
DE0007500001,thyssenkrupp,stock,TKA.DE,tka.de,EUR,XETRA,assumed,,de_largecap,
